,Number,Channel,Check in,Check out,Rooms,Persons,Adults,Children,Total,Commission,Prepaid,Country,Reservation Date,Date of creation or modification,Cancellation Date ,Payment,Status 
33,3556313102,Despegar PAM2 XML,2017-04-05,2017-04-06,1 DBL Mat ,2,2,0,56.55,0.0,0.0,,2017-04-04 16:37,2017-04-04 16:40,,Credit card,New
34,3556457102,Despegar PAM2 XML,2017-04-05,2017-04-06,1 SGL ,1,1,0,52.86,0.0,0.0,,2017-04-04 16:55,2017-04-04 17:01,,Credit card,New
35,1151830951,Booking.com XML,2017-04-05,2017-04-06,1 DBL Mat ,2,2,0,66.64,12.0,0.0,Argentina,2017-04-05 12:57,2017-04-05 12:57,,Credit card,New
36,3371274202,Despegar PAM2 XML,2017-04-04,2017-04-06,1 SGL ,1,1,0,91.59,0.0,0.0,,2017-03-12 17:08,2017-03-18 16:22,2017-03-18 16:19,Credit card,Cancelled
37,3420658402,Despegar PAM2 XML,2017-04-04,2017-04-06,1 SGL ,1,1,0,93.42,0.0,0.0,,2017-03-18 16:51,2017-03-18 17:00,,Credit card,New
38,1430887260,Booking.com XML,2017-04-04,2017-04-07,1 SGL ,1,1,0,169.59,30.53,0.0,Brazil,2017-03-21 16:27,2017-03-21 16:27,,Credit card,New
39,1430898500,Booking.com XML,2017-04-04,2017-04-07,1 SGL ,1,1,0,188.43,33.92,0.0,Brazil,2017-03-21 16:34,2017-03-21 16:35,,Credit card,New
40,1835554901,Booking.com XML,2017-04-04,2017-04-06,1 SGL ,1,1,0,107.1,19.28,0.0,Netherlands,2017-03-31 09:26,2017-03-31 09:26,,Credit card,New
41,818124271,Expedia XML,2017-04-04,2017-04-05,1 DBL Mat ,2,2,0,50.11,0.0,50.11,,2017-03-31 09:27,2017-03-31 09:28,,Credit card,New
42,1080781736,Booking.com XML,2017-04-04,2017-04-05,1 DBL Mat ,2,2,0,57.52,10.35,0.0,Argentina,2017-03-31 10:11,2017-03-31 10:11,,Credit card,New
43,1513176329,Booking.com XML,2017-04-04,2017-04-05,1 SGL ,1,1,0,51.17,9.21,0.0,Argentina,2017-04-02 23:54,2017-04-02 23:54,,Credit card,New
44,1180863336,Booking.com XML,2017-04-04,2017-04-05,1 SGL ,1,1,0,71.07,12.79,0.0,Italy,2017-04-03 10:51,2017-04-03 10:52,,Credit card,New
45,1388988681,Booking.com XML,2017-04-04,2017-04-06,1 DBL Mat ,2,2,0,109.48,19.71,0.0,Argentina,2017-04-03 11:51,2017-04-03 11:51,,Credit card,New
46,1128781061,Booking.com XML,2017-04-03,2017-04-07,1 SGL 1 SGL ,2,2,0,376.88,67.84,0.0,Argentina,2017-03-08 10:07,2017-03-08 10:07,,Credit card,New
47,1001305106,Booking.com XML,2017-04-03,2017-04-09,1 DBL Twin ,2,2,0,323.57,58.24,0.0,Perú,2017-03-11 22:58,2017-03-13 14:57,,Credit card,Modified
48,1080368774,Booking.com XML,2017-04-03,2017-04-06,1 DBL Mat ,2,2,0,162.66,29.28,0.0,Germany,2017-03-22 23:50,2017-03-22 23:50,,Credit card,New
49,1607529945,Booking.com XML,2017-04-03,2017-04-07,1 DBL Mat ,2,2,0,223.48,40.23,0.0,Argentina,2017-03-27 12:54,2017-03-27 12:54,,Credit card,New
50,1633888548,Booking.com XML,2017-04-03,2017-04-05,1 SGL ,1,1,0,90.46,16.28,0.0,Argentina,2017-03-28 08:59,2017-03-28 08:59,,Credit card,New
51,2014165399,Booking.com XML,2017-04-03,2017-04-06,1 DBL Mat ,2,2,0,155.31,27.96,0.0,Argentina,2017-03-29 00:38,2017-03-29 00:38,,Credit card,New
52,2043507213,Booking.com XML,2017-04-03,2017-04-04,1 DBL Twin ,2,2,0,57.52,10.35,0.0,Argentina,2017-03-30 13:46,2017-03-30 13:46,,Credit card,New
53,1348824364,Booking.com XML,2017-04-03,2017-04-04,1 SGL ,1,1,0,48.2,8.68,0.0,Argentina,2017-03-31 07:24,2017-03-31 07:24,,Credit card,New
54,1158661493,Booking.com XML,2017-04-03,2017-04-04,1 SGL ,1,1,0,48.2,8.68,0.0,Argentina,2017-04-01 14:04,2017-04-01 14:04,,Credit card,New
55,1792316096,Booking.com XML,2017-04-03,2017-04-05,1 DBL Twin ,2,2,0,118.34,21.3,0.0,Argentina,2017-04-01 21:01,2017-04-01 21:01,,Credit card,New
56,1330774100,Booking.com XML,2017-04-03,2017-04-05,1 TPL Mat ,3,3,0,152.73,27.49,0.0,Argentina,2017-04-02 13:47,2017-04-02 13:47,,Credit card,New
57,1364984156,Booking.com XML,2017-04-03,2017-04-04,1 DBL Mat ,2,2,0,51.77,9.32,0.0,Argentina,2017-04-02 22:50,2017-04-02 22:50,,Credit card,New
58,2022426905,Booking.com XML,2017-04-02,2017-04-04,1 SGL 1 SGL 1 SGL ,3,3,0,287.82,51.81,0.0,Italy,2017-02-23 11:04,2017-02-23 11:04,,Credit card,New
59,1262384066,Booking.com XML,2017-04-02,2017-04-03,1 DBL Mat ,2,2,0,50.83,9.15,0.0,Brazil,2017-03-04 20:21,2017-03-04 20:21,,Credit card,New
60,1912106110,Booking.com XML,2017-04-02,2017-04-05,1 DBL Mat ,2,2,0,137.25,24.7,0.0,Perú,2017-03-05 21:42,2017-03-05 22:33,2017-03-05 22:33,Credit card,Cancelled
61,812865321,Expedia XML,2017-04-02,2017-04-03,1 SGL ,1,1,0,43.78,0.0,43.78,,2017-03-21 15:32,2017-03-21 15:36,,Credit card,New
62,1924289577,Booking.com XML,2017-04-02,2017-04-03,1 DBL Mat ,2,2,0,57.52,10.35,0.0,Argentina,2017-03-29 15:25,2017-03-29 15:25,,Credit card,New
63,1792348674,Booking.com XML,2017-04-02,2017-04-03,1 DBL Mat ,2,2,0,57.52,10.35,0.0,Argentina,2017-04-01 10:48,2017-04-01 10:48,,Credit card,New
64,1205716640,Booking.com XML,2017-04-02,2017-04-03,1 SUP ,2,2,0,70.74,12.73,0.0,Argentina,2017-04-02 15:44,2017-04-02 15:44,,Credit card,New
65,2084017275,Booking.com XML,2017-04-01,2017-04-04,1 DBL Mat ,2,2,0,158.68,28.56,0.0,USA,2017-03-08 21:51,2017-03-08 22:48,2017-03-08 22:48,Credit card,Cancelled
66,1365746693,Booking.com XML,2017-04-01,2017-04-03,1 DBL Twin ,2,2,0,107.85,19.41,0.0,Argentina,2017-03-12 23:21,2017-03-12 23:21,,Credit card,New
67,1783231780,Booking.com XML,2017-04-01,2017-04-08,1 DBL Twin ,2,2,0,503.31,90.6,0.0,Paraguay,2017-03-22 10:39,2017-03-22 10:39,,Credit card,New
68,1783202293,Booking.com XML,2017-04-01,2017-04-05,1 DBL Mat ,2,2,0,233.4,42.01,0.0,Brazil,2017-03-22 23:59,2017-03-22 23:59,,Credit card,New
69,1607561792,Booking.com XML,2017-04-01,2017-04-02,1 DBL Mat ,2,2,0,80.66,14.52,0.0,Argentina,2017-03-27 15:12,2017-03-27 15:12,,Credit card,New
70,1195182976,Booking.com XML,2017-04-01,2017-04-02,1 SGL ,1,1,0,69.03,12.43,0.0,Argentina,2017-03-27 20:46,2017-03-27 20:46,,Credit card,New
71,1519988509,Booking.com XML,2017-04-01,2017-04-07,1 TPL Twin 1 DBL Mat ,5,5,0,819.87,147.58,0.0,Brazil,2017-03-27 23:32,2017-03-27 23:33,,Credit card,New
72,1512157995,Booking.com XML,2017-04-01,2017-04-03,1 TPL Twin ,3,3,0,189.09,34.04,0.0,Argentina,2017-04-01 13:47,2017-04-01 13:47,,Credit card,New
73,1122999559,Booking.com XML,2017-03-31,2017-04-01,1 DBL Mat 1 DBL Mat 1 DBL Mat ,6,6,0,184.08,33.13,0.0,Argentina,2016-10-22 11:06,2017-03-09 08:51,2017-03-09 08:51,Credit card,Cancelled
74,1619044411,Booking.com XML,2017-03-31,2017-04-03,1 DBL Twin ,2,2,0,183.48,33.03,0.0,Argentina,2016-12-15 23:02,2016-12-15 23:02,,Credit card,New
75,1200998562,Booking.com XML,2017-03-31,2017-04-04,1 DBL Twin 1 TPL Twin ,5,5,0,557.85,100.41,0.0,Brazil,2017-01-21 23:50,2017-01-24 23:27,2017-01-24 23:27,Credit card,Cancelled
76,1379895934,Booking.com XML,2017-03-31,2017-04-02,1 DBL Twin ,2,2,0,123.34,22.2,0.0,Argentina,2017-03-09 15:53,2017-03-09 20:33,2017-03-09 20:33,Credit card,Cancelled
77,1242217329,Booking.com XML,2017-03-31,2017-04-02,1 TPL Mat ,3,3,0,165.96,29.87,0.0,Argentina,2017-03-13 10:07,2017-03-13 10:07,,Credit card,New
78,1162084320,Booking.com XML,2017-03-31,2017-04-03,1 DBL Mat ,2,2,0,179.09,32.24,0.0,Argentina,2017-03-13 22:49,2017-03-13 22:50,,Credit card,New
79,1724449315,Booking.com XML,2017-03-31,2017-04-07,1 DBL Mat ,2,2,0,392.14,70.59,0.0,Brazil,2017-03-23 18:46,2017-03-23 18:46,,Credit card,New
80,1708759967,Booking.com XML,2017-03-31,2017-04-02,1 SGL ,1,1,0,179.83,32.37,0.0,Argentina,2017-03-30 19:56,2017-03-30 19:56,,Credit card,New
81,1708771738,Booking.com XML,2017-03-31,2017-04-02,1 DBL Mat ,2,2,0,187.77,33.8,0.0,Argentina,2017-03-30 20:30,2017-03-30 20:31,,Credit card,New
82,1257479491,Booking.com XML,2017-03-31,2017-04-01,1 DBL Mat ,2,2,0,110.42,19.88,0.0,Argentina,2017-04-01 00:27,2017-04-01 00:27,,,New
83,1049166184,Booking.com XML,2017-03-30,2017-04-02,1 DBL Mat ,2,2,0,189.67,34.14,0.0,Chile,2017-01-14 11:33,2017-01-14 11:33,,Credit card,New
84,1719753731,Booking.com XML,2017-03-30,2017-03-31,1 SGL ,1,1,0,42.4,7.63,0.0,Argentina,2017-03-07 17:58,2017-03-07 17:58,,Credit card,New
85,3396415402,Despegar PAM2 XML,2017-03-30,2017-04-05,1 SGL ,1,1,0,243.31,0.0,243.31,,2017-03-15 15:14,2017-03-15 15:20,,,New
86,809716209,Expedia XML,2017-03-30,2017-04-02,1 DBL Mat ,2,2,0,172.18,0.0,172.18,,2017-03-15 19:11,2017-03-15 19:12,,Credit card,New
87,1746313317,Booking.com XML,2017-03-30,2017-04-02,1 SGL ,1,1,0,182.49,32.85,0.0,Argentina,2017-03-16 14:09,2017-03-16 14:11,,Credit card,New
88,3450960102,Despegar PAM2 XML,2017-03-30,2017-03-31,1 SGL ,1,1,0,46.71,0.0,0.0,,2017-03-22 13:16,2017-03-22 13:20,,Credit card,New
89,1785192700,Booking.com XML,2017-03-30,2017-04-03,1 TPL Twin ,3,3,0,338.52,60.93,0.0,Chile,2017-03-25 13:59,2017-04-01 08:23,2017-04-01 08:23,Credit card,Cancelled
90,1785158952,Booking.com XML,2017-03-30,2017-04-02,1 DBL Mat ,2,2,0,215.54,38.8,0.0,Chile,2017-03-25 14:03,2017-04-01 08:13,2017-04-01 08:13,Credit card,Cancelled
91,2024579395,Booking.com XML,2017-03-30,2017-04-02,1 DBL Twin ,2,2,0,215.54,38.8,0.0,Chile,2017-03-25 19:16,2017-03-25 19:16,,Credit card,New
92,1536208975,Booking.com XML,2017-03-30,2017-04-01,1 SGL ,1,1,0,123.18,22.17,0.0,Argentina,2017-03-26 19:46,2017-03-26 19:47,,Credit card,New
93,1633849355,Booking.com XML,2017-03-30,2017-03-31,1 DBL Mat 1 DBL Mat ,4,4,0,115.46,20.78,0.0,Argentina,2017-03-28 09:19,2017-03-28 09:19,,Credit card,New
94,2065705104,Booking.com XML,2017-03-30,2017-04-01,1 DBL Mat ,2,2,0,174.54,31.42,0.0,Argentina,2017-03-29 20:40,2017-03-29 20:40,,Credit card,New
95,1286536973,Booking.com XML,2017-03-29,2017-03-30,1 SGL ,1,1,0,47.11,8.48,0.0,Argentina,2017-02-23 12:33,2017-02-23 12:33,,Credit card,New
96,2072266988,Booking.com XML,2017-03-29,2017-04-02,1 SUP ,2,2,0,277.7,49.99,0.0,Brazil,2017-03-06 21:57,2017-03-06 21:57,,Credit card,New
97,1162043233,Booking.com XML,2017-03-29,2017-04-02,1 SGL ,1,1,0,201.11,36.2,0.0,Colombia,2017-03-14 00:37,2017-03-14 00:37,,Credit card,New
98,1503321940,Booking.com XML,2017-03-29,2017-04-02,1 SGL ,1,1,0,210.66,37.92,0.0,Argentina,2017-03-22 09:38,2017-03-22 09:39,,Credit card,New
99,1921736184,Booking.com XML,2017-03-29,2017-03-30,1 DBL Mat ,2,2,0,54.22,9.76,0.0,Brazil,2017-03-23 23:12,2017-03-23 23:13,,Credit card,New
100,1679021006,Booking.com XML,2017-03-29,2017-04-01,1 SGL ,1,1,0,187.12,33.68,0.0,Brazil,2017-03-28 02:28,2017-03-28 02:28,,Credit card,New
101,3496507202,Despegar PAM2 XML,2017-03-29,2017-03-30,1 DBL Mat ,2,2,0,50.4,0.0,0.0,,2017-03-28 09:34,2017-03-28 09:39,,Credit card,New
102,2072581391,Booking.com XML,2017-03-29,2017-03-30,1 SGL ,1,1,0,50.25,9.04,0.0,Argentina,2017-03-28 10:29,2017-03-28 10:29,,Credit card,New
103,1679095939,Booking.com XML,2017-03-29,2017-03-30,1 DBL Mat ,2,2,0,54.74,9.85,0.0,Argentina,2017-03-28 11:45,2017-03-28 11:45,,Credit card,New
104,2054637649,Booking.com XML,2017-03-29,2017-03-31,1 DBL Twin ,2,2,0,134.87,24.28,0.0,Argentina,2017-03-28 18:00,2017-03-28 18:00,,Credit card,New
105,1052214000,Booking.com XML,2017-03-29,2017-03-30,1 TPL Mat ,3,3,0,78.02,14.04,0.0,Argentina,2017-03-28 18:28,2017-03-28 18:28,,Credit card,New
106,1924248610,Booking.com XML,2017-03-29,2017-04-01,1 SGL ,1,1,0,183.27,32.99,0.0,Argentina,2017-03-29 00:58,2017-03-29 00:58,,Credit card,New
107,1539615250,Booking.com XML,2017-03-28,2017-03-30,1 DBL Mat ,2,2,0,109.1,19.64,0.0,Canada,2016-11-05 12:37,2016-11-05 12:54,2016-11-05 12:54,Credit card,Cancelled
108,1969551598,Booking.com XML,2017-03-28,2017-04-08,1 SGL ,1,1,0,555.62,100.01,0.0,Argentina,2016-12-27 17:19,2016-12-27 17:46,2016-12-27 17:46,Credit card,Cancelled
109,779869944,Expedia XML,2017-03-28,2017-04-06,1 TPL Mat ,3,3,0,578.88,0.0,578.88,,2017-01-16 23:21,2017-01-16 23:24,,Credit card,New
110,1518041205,Booking.com XML,2017-03-28,2017-04-01,1 DBL Mat ,2,2,0,210.07,37.81,0.0,Brazil,2017-03-12 20:59,2017-03-12 20:59,,Credit card,New
111,1654255046,Booking.com XML,2017-03-28,2017-03-31,1 SGL ,1,1,0,143.47,25.82,0.0,Chile,2017-03-20 21:20,2017-03-20 21:20,,Credit card,New
112,1219306181,Booking.com XML,2017-03-28,2017-03-29,1 SGL ,1,1,0,45.23,8.14,0.0,Colombia,2017-03-23 04:03,2017-03-23 04:03,,Credit card,New
113,1734340815,Booking.com XML,2017-03-28,2017-03-29,1 DBL Mat ,2,2,0,54.22,9.76,0.0,Argentina,2017-03-24 18:08,2017-03-24 18:08,,Credit card,New
114,1313469703,Booking.com XML,2017-03-28,2017-04-03,1 DBL Mat ,2,2,0,340.39,61.27,0.0,Spain,2017-03-25 21:37,2017-03-25 21:37,,Credit card,New
115,1281644550,Booking.com XML,2017-03-28,2017-03-30,1 SGL ,1,1,0,90.46,16.28,0.0,Argentina,2017-03-27 14:44,2017-03-27 14:44,,Credit card,New
116,1633852451,Booking.com XML,2017-03-28,2017-03-30,1 DBL Twin ,2,2,0,108.44,19.52,0.0,Argentina,2017-03-27 22:13,2017-03-27 22:13,,Credit card,New
117,1191739400,Booking.com XML,2017-03-28,2017-03-29,1 DBL Mat ,2,2,0,54.22,9.76,0.0,Argentina,2017-03-28 13:40,2017-03-28 13:40,,Credit card,New
118,2054636820,Booking.com XML,2017-03-28,2017-03-29,1 SGL ,1,1,0,50.25,9.04,0.0,Argentina,2017-03-28 23:03,2017-03-28 23:03,,,New
119,1951469076,Booking.com XML,2017-03-28,2017-03-30,1 SGL ,1,1,0,107.11,19.28,0.0,Argentina,2017-03-28 23:13,2017-03-28 23:13,,,New
120,2056145332,Booking.com XML,2017-03-27,2017-03-28,1 SGL ,1,1,0,47.11,8.48,0.0,United Kingdom,2017-02-13 14:17,2017-02-13 14:18,,Credit card,New
121,1690391271,Booking.com XML,2017-03-27,2017-03-29,1 SGL ,1,1,0,113.06,20.35,0.0,Brazil,2017-02-20 15:15,2017-03-10 19:15,,Credit card,Modified
122,797844422,Expedia XML,2017-03-27,2017-03-31,1 SGL ,1,1,0,211.94,0.0,0.0,,2017-02-22 11:35,2017-02-22 11:36,,Credit card,New
123,2032501694,Booking.com XML,2017-03-27,2017-03-29,1 DBL Twin ,2,2,0,101.66,18.3,0.0,Ecuador,2017-03-06 19:03,2017-03-06 19:03,,Credit card,New
124,1576049716,Booking.com XML,2017-03-27,2017-03-29,1 SGL ,1,1,0,84.8,15.26,0.0,Brazil,2017-03-07 14:08,2017-03-07 14:09,,Credit card,New
125,1075351870,Booking.com XML,2017-03-27,2017-03-31,1 TPL Twin ,3,3,0,281.17,50.61,0.0,Germany,2017-03-10 17:08,2017-03-10 17:08,,Credit card,New
126,808891738,Expedia XML,2017-03-27,2017-03-30,1 SGL ,1,1,0,134.79,0.0,134.79,,2017-03-14 13:17,2017-03-14 13:20,,Credit card,New
127,1373609356,Booking.com XML,2017-03-27,2017-03-30,1 SGL 1 SGL ,2,2,0,366.94,66.05,0.0,Brazil,2017-03-17 09:51,2017-03-17 09:51,,Credit card,New
128,1566146165,Booking.com XML,2017-03-27,2017-03-28,1 SGL ,1,1,0,50.25,9.04,0.0,Argentina,2017-03-23 09:14,2017-03-23 09:15,,Credit card,New
129,1049435884,Booking.com XML,2017-03-27,2017-03-28,1 DBL Mat ,2,2,0,54.22,9.76,0.0,Argentina,2017-03-23 11:32,2017-03-23 11:33,,Credit card,New
130,3478112802,Despegar PAM2 XML,2017-03-27,2017-03-31,1 DBL Mat ,1,1,0,210.82,0.0,0.0,,2017-03-25 21:24,2017-03-25 21:39,,Credit card,New
131,815598998,Expedia XML,2017-03-27,2017-03-28,1 SGL ,1,1,0,43.78,0.0,43.78,,2017-03-26 21:15,2017-03-26 21:16,,Credit card,New
132,1332890751,Booking.com XML,2017-03-26,2017-03-27,1 SGL ,1,1,0,53.3,9.59,0.0,Argentina,2016-12-08 14:24,2017-02-26 10:03,2017-02-26 10:03,Credit card,Cancelled
133,1341792047,Booking.com XML,2017-03-26,2017-03-27,1 DBL Twin ,2,2,0,50.83,9.15,0.0,Brazil,2017-01-23 17:22,2017-01-23 17:22,,Credit card,New
134,1908628585,Booking.com XML,2017-03-26,2017-03-31,1 DBL Mat ,2,2,0,260.34,46.86,0.0,Brazil,2017-01-28 18:39,2017-01-28 18:39,,Credit card,New
135,1121819322,Booking.com XML,2017-03-26,2017-03-27,1 TPL Twin 1 TPL Twin ,6,6,0,133.88,24.1,0.0,Argentina,2017-02-09 11:19,2017-02-09 11:19,,Credit card,New
136,1518464041,Booking.com XML,2017-03-26,2017-03-27,1 DBL Mat ,2,2,0,54.22,9.76,0.0,USA,2017-02-17 23:00,2017-02-18 04:47,,Credit card,Modified
137,1746349424,Booking.com XML,2017-03-26,2017-03-27,1 SGL ,1,1,0,45.23,8.14,0.0,Argentina,2017-03-16 14:30,2017-03-16 14:31,,Credit card,New
138,1896969998,Booking.com XML,2017-03-26,2017-03-28,1 DBL Mat ,2,2,0,100.57,18.1,0.0,Argentina,2017-03-19 21:03,2017-03-19 21:03,,Credit card,New
139,813386126,Expedia XML,2017-03-26,2017-04-02,1 DBL Mat ,1,1,0,365.21,0.0,365.21,,2017-03-22 13:40,2017-03-22 13:40,,Credit card,New
140,1659735387,Booking.com XML,2017-03-26,2017-03-27,1 SGL ,1,1,0,51.17,9.21,0.0,Argentina,2017-03-26 18:31,2017-03-26 18:32,,,New
141,1749033933,Booking.com XML,2017-03-25,2017-04-02,1 DBL Mat ,2,2,0,474.14,85.35,0.0,Brazil,2016-10-26 18:22,2017-03-02 18:04,2017-03-02 18:04,Credit card,Cancelled
142,1444720347,Booking.com XML,2017-03-25,2017-04-02,1 DBL Mat ,2,2,0,462.41,83.23,0.0,Brazil,2017-02-22 07:53,2017-03-21 00:11,2017-03-21 00:11,Credit card,Cancelled
143,1582852417,Booking.com XML,2017-03-25,2017-03-28,1 DBL Mat ,2,2,0,174.47,31.4,0.0,Argentina,2017-02-22 22:20,2017-02-25 19:39,2017-02-25 19:39,Credit card,Cancelled
144,1255371750,Booking.com XML,2017-03-25,2017-03-28,1 SUP ,2,2,0,208.28,37.49,0.0,Argentina,2017-02-22 22:24,2017-02-25 19:37,2017-02-25 19:37,Credit card,Cancelled
145,1234958214,Booking.com XML,2017-03-25,2017-04-02,1 DBL Mat ,2,2,0,407.82,73.41,0.0,Brazil,2017-03-02 18:06,2017-03-23 13:02,2017-03-23 13:02,Credit card,Cancelled
146,3361947602,Despegar PAM2 XML,2017-03-25,2017-03-30,1 DBL Mat 1 DBL Mat ,4,4,0,457.16,0.0,457.16,,2017-03-11 09:56,2017-03-11 09:59,,,New
147,1469749405,Booking.com XML,2017-03-24,2017-03-28,1 DBL Mat 1 DBL Mat ,4,4,0,481.0,86.58,0.0,Germany,2017-01-29 14:03,2017-01-29 14:04,,Credit card,New
